study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB29238	SAMEA4981805	ERX2855201	ERR2848512	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/002/ERR2848512/ERR2848512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848512/07-014_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848512/07-014_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/002/ERR2848512	
PRJEB29238	SAMEA4981778	ERX2855174	ERR2848485	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848485/ERR2848485.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848485/06-126_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848485/06-126_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848485	
PRJEB29238	SAMEA4981806	ERX2855202	ERR2848513	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848513/ERR2848513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848513/07-015_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848513/07-015_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848513	
PRJEB29238	SAMEA4981780	ERX2855176	ERR2848487	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/007/ERR2848487/ERR2848487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848487/06-129_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848487/06-129_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/007/ERR2848487	
PRJEB29238	SAMEA4981807	ERX2855203	ERR2848514	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848514/ERR2848514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848514/07-021_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848514/07-021_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848514	
PRJEB29238	SAMEA4981781	ERX2855177	ERR2848488	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/008/ERR2848488/ERR2848488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848488/06-131_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848488/06-131_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/008/ERR2848488	
PRJEB29238	SAMEA4981809	ERX2855205	ERR2848516	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/006/ERR2848516/ERR2848516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848516/07-026_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848516/07-026_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/006/ERR2848516	
PRJEB29238	SAMEA4981783	ERX2855179	ERR2848490	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848490/ERR2848490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848490/06-136_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848490/06-136_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848490	
PRJEB29238	SAMEA4981817	ERX2855213	ERR2848524	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848524/ERR2848524.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848524/07-047_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848524/07-047_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848524	
PRJEB29238	SAMEA4981785	ERX2855181	ERR2848492	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/002/ERR2848492/ERR2848492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848492/06-141_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848492/06-141_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/002/ERR2848492	
PRJEB29238	SAMEA4981819	ERX2855215	ERR2848526	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/006/ERR2848526/ERR2848526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848526/07-051_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848526/07-051_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/006/ERR2848526	
PRJEB29238	SAMEA4981790	ERX2855186	ERR2848497	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/007/ERR2848497/ERR2848497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848497/06-174_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848497/06-174_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/007/ERR2848497	
PRJEB29238	SAMEA4981822	ERX2855218	ERR2848529	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848529/ERR2848529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848529/08-097_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848529/08-097_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848529	
PRJEB29238	SAMEA4981791	ERX2855187	ERR2848498	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/008/ERR2848498/ERR2848498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848498/06-196_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848498/06-196_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/008/ERR2848498	
PRJEB29238	SAMEA4981826	ERX2855222	ERR2848533	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848533/ERR2848533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848533/08-138_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848533/08-138_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848533	
PRJEB29238	SAMEA4981792	ERX2855188	ERR2848499	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848499/ERR2848499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848499/06-198_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848499/06-198_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848499	
PRJEB29238	SAMEA4981828	ERX2855224	ERR2848535	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848535/ERR2848535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848535/08-152_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848535/08-152_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848535	
PRJEB29238	SAMEA4981795	ERX2855191	ERR2848502	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/002/ERR2848502/ERR2848502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848502/06-220_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848502/06-220_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/002/ERR2848502	
PRJEB29238	SAMEA4981836	ERX2855232	ERR2848543	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848543/ERR2848543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848543/08-183_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848543/08-183_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848543	
PRJEB29238	SAMEA4981796	ERX2855192	ERR2848503	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848503/ERR2848503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848503/07-001_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848503/07-001_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848503	
PRJEB29238	SAMEA4981839	ERX2855235	ERR2848546	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/006/ERR2848546/ERR2848546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848546/08-188_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848546/08-188_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/006/ERR2848546	
PRJEB29238	SAMEA4981798	ERX2855194	ERR2848505	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848505/ERR2848505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848505/07-003_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848505/07-003_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848505	
PRJEB29238	SAMEA4981845	ERX2855241	ERR2848552	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/002/ERR2848552/ERR2848552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848552/08-212_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848552/08-212_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/002/ERR2848552	
PRJEB29238	SAMEA4981804	ERX2855200	ERR2848511	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/001/ERR2848511/ERR2848511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848511/07-011_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848511/07-011_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/001/ERR2848511	
PRJEB29238	SAMEA4981848	ERX2855244	ERR2848555	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848555/ERR2848555.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848555/17-018_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848555/17-018_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848555	
PRJEB29238	SAMEA4981808	ERX2855204	ERR2848515	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848515/ERR2848515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848515/07-022_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848515/07-022_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848515	
PRJEB29238	SAMEA4981852	ERX2855248	ERR2848559	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848559/ERR2848559.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848559/17-054_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848559/17-054_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848559	
PRJEB29238	SAMEA4981812	ERX2855208	ERR2848519	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848519/ERR2848519.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848519/07-030_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848519/07-030_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848519	
PRJEB29238	SAMEA4981854	ERX2855250	ERR2848561	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/001/ERR2848561/ERR2848561.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848561/17-058_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848561/17-058_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/001/ERR2848561	
PRJEB29238	SAMEA4981813	ERX2855209	ERR2848520	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848520/ERR2848520.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848520/07-031_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848520/07-031_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848520	
PRJEB29238	SAMEA4981856	ERX2855252	ERR2848563	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848563/ERR2848563.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848563/17-061_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848563/17-061_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848563	
PRJEB29238	SAMEA4981814	ERX2855210	ERR2848521	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/001/ERR2848521/ERR2848521.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848521/07-032_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848521/07-032_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/001/ERR2848521	
PRJEB29238	SAMEA4981857	ERX2855253	ERR2848564	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848564/ERR2848564.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848564/17-063_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848564/17-063_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848564	
PRJEB29238	SAMEA4981816	ERX2855212	ERR2848523	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848523/ERR2848523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848523/07-040_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848523/07-040_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848523	
PRJEB29238	SAMEA4981858	ERX2855254	ERR2848565	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848565/ERR2848565.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848565/17-065_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848565/17-065_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848565	
PRJEB29238	SAMEA4981818	ERX2855214	ERR2848525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848525/ERR2848525.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848525/07-049_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848525/07-049_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848525	
PRJEB29238	SAMEA4981860	ERX2855256	ERR2848567	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/007/ERR2848567/ERR2848567.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848567/17-072_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848567/17-072_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/007/ERR2848567	
PRJEB29238	SAMEA4981820	ERX2855216	ERR2848527	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/007/ERR2848527/ERR2848527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848527/07-055_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848527/07-055_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/007/ERR2848527	
PRJEB29238	SAMEA4981863	ERX2855259	ERR2848570	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848570/ERR2848570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848570/17-077_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848570/17-077_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848570	
PRJEB29238	SAMEA4981823	ERX2855219	ERR2848530	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848530/ERR2848530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848530/08-120_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848530/08-120_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848530	
PRJEB29238	SAMEA4981865	ERX2855261	ERR2848572	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/002/ERR2848572/ERR2848572.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848572/17-090_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848572/17-090_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/002/ERR2848572	
PRJEB29238	SAMEA4981830	ERX2855226	ERR2848537	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/007/ERR2848537/ERR2848537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848537/08-157_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848537/08-157_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/007/ERR2848537	
PRJEB29238	SAMEA4981867	ERX2855263	ERR2848574	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848574/ERR2848574.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848574/17-093_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848574/17-093_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848574	
PRJEB29238	SAMEA4981831	ERX2855227	ERR2848538	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/008/ERR2848538/ERR2848538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848538/08-160_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848538/08-160_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/008/ERR2848538	
PRJEB29238	SAMEA4981868	ERX2855264	ERR2848575	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848575/ERR2848575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848575/17-098_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848575/17-098_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848575	
PRJEB29238	SAMEA4981832	ERX2855228	ERR2848539	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848539/ERR2848539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848539/08-164_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848539/08-164_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848539	
PRJEB29238	SAMEA4981871	ERX2855267	ERR2848578	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/008/ERR2848578/ERR2848578.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848578/17-113_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848578/17-113_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/008/ERR2848578	
PRJEB29238	SAMEA4981838	ERX2855234	ERR2848545	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/005/ERR2848545/ERR2848545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848545/08-186_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848545/08-186_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/005/ERR2848545	
